Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15
98094251Normal,CC01-7,Non,52.53,1,8.99,5.99,1,36515,36526,CHIle,Viña del Mar,CH,,
98094252Devolución,CC02-7,Non,53.44,2,7,5,2,36515,36531,VENezuela,Caracas,VE,,
98094244Normal,B06-1,Non,50.36,1,7,5,1,36516,36530,BRAsil,Rio,BR,,
98094247Devolución,CC01-3,Non,52.53,1,8.1,6.1,2,36516,36526,BRAsil,Rio,BR,,
98094248Normal,CC02-3,Non,53.44,2,7,3,3,36516,36529,URUguay,Montevideo,UR,,
98094249Devolución,CC02-6,Non,80.16,3,5.58,5.58,2,36516,36534,República DOminiCana,Santo Domingo,RD,,
98094246Normal,L03-7,Balck Fraday,44.985,2,7.99,4.99,2,36516,36531,PARaguay,Asunción,PA,,
98094245Normal,L07-5,Cyber Monday,60.624,2,5,4,2,36516,36536,CHIle,Viña del Mar,CH,,
98094243Normal,CB01-6,Non,444.05999999999995,2,7,4,3,36517,36529,República DOminiCana,Santo Domingo,RD,,
98094241Devolución,CC01-2,Day Off Full,89.301,2,9.58,5.58,1,36517,36526,PERú,Lima,PE,,
98094242Normal,L05-3,Non,81.1,2,8.14,6.14,1,36517,36528,República DOminiCana,Santo Domingo,RD,,
98094235Normal,C10-1,Non,137.57999999999998,3,6.89,6.89,1,36518,36533,CHIle,Viña del Mar,CH,,
98094239Normal,CB01-6,Cyber Monday,355.248,2,8.65,5.65,1,36518,36529,ARGentina,Rosario,AR,,
98094240Normal,CB01-5,Cyber Monday,532.872,3,10,7,3,36518,36527,CHIle,Viña del Mar,CH,,
98094236Normal,CC02-2,Non,53.44,2,6.12,6.12,3,36518,36530,ARGentina,Rosario,AR,,
98094237Devolución,L01-6,Non,61.5,2,7,5,3,36518,36530,CHIle,Viña del Mar,CH,,
98094238Normal,L02-4,Non,120.60000000000001,3,9.9,6.9,2,36518,36534,ARGentina,Rosario,AR,,
98094232Normal,CB01-2,Non,666.08999999999992,3,7,7,3,36519,36536,PERú,Lima,PE,,
98094233Normal,L06-6,Non,127.64999999999999,3,6.58,5.58,2,36519,36532,ARGentina,Rosario,AR,,
98094234Normal,L06-4,Non,85.1,2,6.86,4.86,1,36519,36529,República DOminiCana,Santo Domingo,RD,,
98094228Normal,CC01-3,Non,157.59,3,8,3,3,36520,36529,República DOminiCana,Santo Domingo,RD,,
98094229Normal,CC01-2,Non,52.53,1,7.12,5.12,1,36520,36534,VENezuela,Caracas,VE,,
98094231Normal,CC01-6,Non,105.06,2,5.55,3.55,1,36520,36537,ECUador,Quito,EC,,
98094227Devolución,L04-4,Non,90.300000000000011,3,8.61,4.61,3,36520,36533,VENezuela,Caracas,VE,,
98094230Normal,L07-4,Non,75.78,2,5.68,4.68,3,36520,36537,PARaguay,Asunción,PA,,
98094226Normal,L05-2,Non,40.55,1,7.58,3.58,1,36521,36533,PARaguay,Asunción,PA,,
98094225Normal,L07-1,Non,37.89,1,8.36,3.36,2,36521,36536,BRAsil,Rio,BR,,
98094223Normal,CB01-1,Non,222.02999999999997,1,9.55,5.55,3,36522,36538,URUguay,Montevideo,UR,,
98094221Normal,L02-4,Non,120.60000000000001,3,8.33,5.33,1,36522,36534,República DOminiCana,Santo Domingo,RD,,
98094222Normal,L03-1,Non,89.97,3,8.65,5.65,3,36522,36536,ECUador,Quito,EC,,
98094224Normal,L06-4,Non,42.55,1,9,6,2,36522,36533,ECUador,Quito,EC,,
98094218Normal,CB01-7,Non,444.05999999999995,2,8,6,1,36523,36537,URUguay,Montevideo,UR,,
98094217Normal,CC01-1,Non,52.53,1,8.58,6.58,3,36523,36540,BRAsil,Rio,BR,,
98094219Normal,CC01-4,Non,52.53,1,8.84,6.84,1,36523,36540,PERú,Lima,PE,,
98094216Normal,CC02-1,Non,53.44,2,5.68,3.68,1,36523,36532,PARaguay,Asunción,PA,,
98094220Normal,L03-6,Non,89.97,3,6.58,4.58,3,36523,36534,BRAsil,Rio,BR,,
98094215Normal,CB01-1,Non,444.05999999999995,2,7.99,5.99,3,36524,36542,ECUador,Quito,EC,,
98094212Normal,CC02-4,Non,80.16,3,6,3,2,36524,36543,República DOminiCana,Santo Domingo,RD,,
98094214Normal,CC02-2,Non,80.16,3,7.12,4.12,1,36524,36538,CHIle,Viña del Mar,CH,,
98094213Normal,L03-3,Non,59.98,2,6.58,6.58,1,36524,36536,República DOminiCana,Santo Domingo,RD,,
98094211Normal,L04-6,Non,90.300000000000011,3,7.12,5.12,2,36524,36542,República DOminiCana,Santo Domingo,RD,,
98094210Devolución,L05-2,Non,121.64999999999999,3,6.61,4.61,3,36524,36541,PERú,Lima,PE,,
98094207Devolución,CC02-2,Non,26.72,1,9.65,3.65,1,36525,36541,República DOminiCana,Santo Domingo,RD,,
98094209Normal,L03-7,Non,29.99,1,6.14,6.14,3,36525,36543,CHIle,Viña del Mar,CH,,
98094208Normal,L07-6,Non,37.89,1,5.36,3.36,3,36525,36543,PARaguay,Asunción,PA,,
98094205Normal,L01-3,Non,30.75,1,8.2,6.2,2,36526,36537,URUguay,Montevideo,UR,,
"Subtotal 1999, Primera Año y Mes",,,"80,504,899,999,999,900",,,,,,,,,,,
,,,,,,,,,,,,,,
98094204Normal,L02-2,Cyber Monday,64.320000000000007,2,5,7,3,36526,36545,PERú,Lima,PE,,
98094206Normal,L05-7,Non,81.1,2,7.99,4.99,2,36526,36533,URUguay,Montevideo,UR,,
98094202Normal,CB01-1,Cyber Monday,355.248,2,6.84,6.84,3,36527,36539,CHIle,Viña del Mar,CH,,
98094203Normal,L01-1,Cyber Monday,24.6,1,7.22,6.22,3,36527,36547,BRAsil,Rio,BR,,
98094200Devolución,CC01-7,Non,157.59,3,8.68,6.68,3,36528,36535,URUguay,Montevideo,UR,,
98094201Normal,L04-5,Non,30.1,1,6.33,3.33,2,36528,36540,CHIle,Viña del Mar,CH,,
98094199Normal,L07-7,Non,113.67,3,8.99,6.99,3,36528,36540,URUguay,Montevideo,UR,,
98094198Devolución,CB01-2,Non,222.02999999999997,1,7.45,5.45,3,36529,36536,PARaguay,Asunción,PA,,
98094195Normal,CC02-7,Non,26.72,1,9.61,4.61,2,36529,36540,ECUador,Quito,EC,,
98094197Normal,L02-4,Cyber Monday,96.480000000000018,3,5,3,3,36529,36547,República DOminiCana,Santo Domingo,RD,,
98094196Devolución,L07-5,Balck Fraday,28.4175,1,7,4,1,36529,36549,ECUador,Quito,EC,,
98094194Normal,C10-3,Non,91.72,2,8.58,6.58,2,36530,36537,URUguay,Montevideo,UR,,
98094193Normal,L01-4,Non,92.25,3,7.22,6.22,2,36531,36548,URUguay,Montevideo,UR,,
98094191Normal,L04-6,Cyber Monday,24.080000000000002,1,8.45,4.45,2,36531,36545,VENezuela,Caracas,VE,,
98094192Normal,L07-3,Non,113.67,3,6.33,3.33,1,36531,36548,CHIle,Viña del Mar,CH,,
98094190Normal,B04-1,Balck Fraday,159.48,3,5.99,4.99,2,36532,36547,PERú,Lima,PE,,
98094189Devolución,CC02-7,Non,53.44,2,7.65,5.65,1,36532,36550,BRAsil,Rio,BR,,
98094188Normal,CC01-2,Cyber Monday,42.024,1,8,3,3,36533,36553,PARaguay,Asunción,PA,,
98094186Devolución,L02-6,Special Day,26.130000000000003,1,7.86,5.86,2,36533,36542,CHIle,Viña del Mar,CH,,
98094187Normal,L05-7,Cyber Monday,32.44,1,5.55,5.55,2,36533,36551,República DOminiCana,Santo Domingo,RD,,
98094185Normal,CC01-5,Non,105.06,2,7.99,4.99,1,36534,36554,URUguay,Montevideo,UR,,
98094183Devolución,L02-2,Non,120.60000000000001,3,6.75,6.75,3,36534,36544,URUguay,Montevideo,UR,,
98094184Devolución,L04-6,Non,30.1,1,5.58,3.58,2,36534,36554,PARaguay,Asunción,PA,,
98094181Normal,L06-3,Balck Fraday,95.7375,3,10,7,2,36534,36553,VENezuela,Caracas,VE,,
98094182Normal,L07-7,Cyber Monday,30.312,1,9.58,3.58,1,36534,36541,VENezuela,Caracas,VE,,
98094180Normal,CB01-4,Non,444.05999999999995,2,6,4,3,36535,36551,CHIle,Viña del Mar,CH,,
98094179Normal,L05-1,Day Off Full,103.40249999999999,3,9.84,6.84,2,36535,36545,República DOminiCana,Santo Domingo,RD,,
98094176Normal,CB01-1,Cyber Monday,177.624,1,8.58,4.58,3,36536,36553,PERú,Lima,PE,,
98094178Normal,CC01-5,Non,52.53,1,5,4,2,36536,36549,República DOminiCana,Santo Domingo,RD,,
98094177Devolución,L01-3,Non,92.25,3,6.12,4.12,3,36536,36550,VENezuela,Caracas,VE,,
98094169Devolución,B01-6,Non,150.35999999999999,3,6.9,4.9,2,36537,36554,ECUador,Quito,EC,,
98094173Normal,B02-6,Non,181.74,3,7.73,4.73,1,36537,36556,ECUador,Quito,EC,,
98094171Normal,B05-6,Non,101.3,2,6.68,4.68,3,36537,36546,República DOminiCana,Santo Domingo,RD,,
98094170Normal,CB01-5,Non,222.02999999999997,1,8,5,2,36537,36545,PARaguay,Asunción,PA,,
98094174Devolución,CB01-2,Non,444.05999999999995,2,8.99,5.99,1,36537,36552,BRAsil,Rio,BR,,
98094175Normal,CB01-2,Special Day,432.95849999999996,3,9,5,3,36537,36546,BRAsil,Rio,BR,,
98094168Normal,CC01-6,Non,105.06,2,5.2,5.2,2,36537,36551,ARGentina,Rosario,AR,,
98094172Normal,L01-7,Balck Fraday,69.1875,3,9.89,3.89,1,36537,36549,República DOminiCana,Santo Domingo,RD,,
98094165Normal,CB01-3,Cyber Monday,532.872,3,7.58,6.58,1,36538,36548,CHIle,Viña del Mar,CH,,
98094163Normal,CC01-7,Cyber Monday,84.048,2,8.45,5.45,2,36538,36557,ECUador,Quito,EC,,
98094164Normal,CC01-6,Day Off Full,133.9515,3,6.45,6.45,2,36538,36547,ECUador,Quito,EC,,
98094166Normal,CC02-2,Non,26.72,1,7.25,6.25,1,36538,36557,VENezuela,Caracas,VE,,
98094167Normal,L04-2,Non,30.1,1,7.22,5.22,1,36538,36547,ARGentina,Rosario,AR,,
98094157Normal,B05-6,Non,151.95,3,5.68,4.68,2,36539,36549,ARGentina,Rosario,AR,,
98094158Normal,L01-5,Non,92.25,3,7.58,6.58,3,36539,36553,BRAsil,Rio,BR,,
98094160Normal,L01-5,Non,30.75,1,8.2,6.2,2,36539,36550,VENezuela,Caracas,VE,,
98094156Normal,L02-1,Non,40.2,1,7.99,4.99,2,36539,36558,ECUador,Quito,EC,,
98094162Normal,L04-6,Non,60.2,2,7.65,4.65,2,36539,36557,ECUador,Quito,EC,,
98094159Normal,L07-3,Non,75.78,2,5.36,4.36,2,36539,36548,ARGentina,Rosario,AR,,
98094161Normal,L07-1,Non,75.78,2,5.75,4.75,1,36539,36552,PERú,Lima,PE,,
98094154Normal,CB01-1,Non,666.08999999999992,3,5.86,5.86,2,36540,36560,ARGentina,Rosario,AR,,
98094152Normal,CC01-7,Non,105.06,2,5.25,4.25,2,36540,36557,ECUador,Quito,EC,,
98094155Normal,L01-5,Cyber Monday,49.2,2,6.22,6.22,2,36540,36555,República DOminiCana,Santo Domingo,RD,,
98094151Normal,L02-4,Non,80.4,2,9.99,3.99,2,36540,36558,República DOminiCana,Santo Domingo,RD,,
98094153Normal,L03-1,Non,29.99,1,8.84,6.84,1,36540,36558,VENezuela,Caracas,VE,,
98094150Normal,CB01-3,Cyber Monday,177.624,1,7.86,4.86,3,36541,36561,República DOminiCana,Santo Domingo,RD,,
98094149Normal,CC01-6,Non,157.59,3,9.58,3.58,2,36541,36560,ARGentina,Rosario,AR,,
98094146Normal,CB01-2,Non,666.08999999999992,3,6.12,5.12,2,36542,36554,URUguay,Montevideo,UR,,
98094147Normal,L07-2,Non,113.67,3,5.61,3.61,3,36542,36553,República DOminiCana,Santo Domingo,RD,,
98094148Normal,L07-2,Special Day,24.628500000000003,1,7,6,2,36542,36554,PERú,Lima,PE,,
98094145Normal,CB01-5,Day Off Full,566.17649999999992,3,9.86,4.86,1,36543,36562,PERú,Lima,PE,,
98094144Normal,CC01-5,Special Day,102.43350000000001,3,8,5,2,36543,36553,PERú,Lima,PE,,
98094143Normal,L03-7,Balck Fraday,67.477499999999992,3,6.84,5.84,1,36543,36562,CHIle,Viña del Mar,CH,,
98094142Normal,CB01-3,Day Off Full,566.17649999999992,3,9.84,3.84,2,36544,36557,PERú,Lima,PE,,
98094141Normal,CB01-1,Non,666.08999999999992,3,5.65,3.65,1,36545,36565,ECUador,Quito,EC,,
98094140Normal,CC01-2,Non,52.53,1,6.88,6.88,3,36545,36553,PERú,Lima,PE,,
98094134Normal,CC01-3,Cyber Monday,126.072,3,9.84,4.84,2,36546,36565,PARaguay,Asunción,PA,,
98094135Normal,CC02-7,Non,26.72,1,5,3,2,36546,36560,ECUador,Quito,EC,,
98094137Normal,CC02-4,Cyber Monday,42.752,2,10,5,3,36546,36565,ECUador,Quito,EC,,
98094139Devolución,CC02-6,Day Off Full,68.136,3,6.68,6.68,3,36546,36563,ECUador,Quito,EC,,
98094133Normal,L04-2,Non,30.1,1,8.65,4.65,1,36546,36566,CHIle,Viña del Mar,CH,,
98094136Normal,L05-2,Special Day,52.714999999999996,2,5.73,3.73,3,36546,36558,URUguay,Montevideo,UR,,
98094138Normal,L05-6,Non,121.64999999999999,3,6.61,6.61,2,36546,36555,BRAsil,Rio,BR,,
98094129Normal,C13-6,Non,40.45,1,9.86,5.86,3,36547,36561,ARGentina,Rosario,AR,,
98094131Normal,C13-3,Non,40.45,1,6.12,3.12,3,36547,36563,ARGentina,Rosario,AR,,
98094128Devolución,CC02-2,Non,26.72,1,7.58,4.58,1,36547,36564,ARGentina,Rosario,AR,,
98094127Normal,L01-7,Non,92.25,3,6.89,5.89,3,36547,36559,ECUador,Quito,EC,,
98094130Normal,L01-3,Balck Fraday,23.0625,1,5.86,4.86,3,36547,36564,CHIle,Viña del Mar,CH,,
98094132Normal,L03-5,Day Off Full,50.983,2,6.58,4.58,2,36547,36565,URUguay,Montevideo,UR,,
98094123Normal,CB01-3,Non,444.05999999999995,2,8.36,4.36,3,36549,36558,BRAsil,Rio,BR,,
98094126Normal,CB01-4,Non,666.08999999999992,3,5.88,6.88,2,36549,36558,República DOminiCana,Santo Domingo,RD,,
98094125Devolución,L03-4,Non,89.97,3,8.61,3.61,3,36549,36567,CHIle,Viña del Mar,CH,,
98094124Normal,L04-2,Cyber Monday,24.080000000000002,1,7.45,5.45,3,36549,36564,URUguay,Montevideo,UR,,
98094122Normal,L05-6,Non,81.1,2,9,4,1,36549,36566,BRAsil,Rio,BR,,
98094120Normal,C12-6,Balck Fraday,67.14,3,6.61,5.61,3,36550,36566,República DOminiCana,Santo Domingo,RD,,
98094121Normal,CB01-4,Cyber Monday,355.248,2,5.75,6.75,2,36550,36562,República DOminiCana,Santo Domingo,RD,,
98094119Normal,B04-3,Balck Fraday,53.16,1,5.73,6.73,2,36551,36562,PARaguay,Asunción,PA,,
98094118Devolución,L05-3,Non,81.1,2,7.88,5.88,2,36552,36565,República DOminiCana,Santo Domingo,RD,,
98094116Normal,L07-7,Special Day,24.628500000000003,1,5,7,2,36552,36562,República DOminiCana,Santo Domingo,RD,,
98094117Normal,L07-6,Cyber Monday,60.624,2,10,3,2,36552,36559,PERú,Lima,PE,,
98094115Normal,CC01-7,Cyber Monday,126.072,3,5,7,2,36553,36567,CHIle,Viña del Mar,CH,,
98094114Normal,CC01-2,Cyber Monday,126.072,3,6.55,5.55,2,36554,36573,VENezuela,Caracas,VE,,
98094113Normal,C14-4,Cyber Monday,95.064000000000007,3,5.99,4.99,3,36556,36570,ECUador,Quito,EC,,
98094112Normal,CB01-5,Non,222.02999999999997,1,7.75,6.75,1,36556,36564,VENezuela,Caracas,VE,,
98094110Normal,B06-3,Non,100.72,2,5.99,5.99,1,36557,36575,URUguay,Montevideo,UR,,
98094107Normal,CB01-5,Non,444.05999999999995,2,7.86,5.86,1,36557,36569,URUguay,Montevideo,UR,,
98094108Normal,CB01-4,Non,666.08999999999992,3,5.84,4.84,1,36557,36575,CHIle,Viña del Mar,CH,,
98094106Normal,CC01-3,Non,52.53,1,5.45,4.45,2,36557,36565,VENezuela,Caracas,VE,,
98094105Normal,L05-4,Cyber Monday,64.88,2,7.9,4.9,1,36557,36575,URUguay,Montevideo,UR,,
98094109Normal,L07-6,Cyber Monday,90.936,3,6.45,6.45,3,36557,36573,ECUador,Quito,EC,,
98094111Normal,L07-6,Special Day,24.628500000000003,1,7.36,5.36,1,36557,36569,República DOminiCana,Santo Domingo,RD,,
98094104Normal,L06-1,Non,127.64999999999999,3,6,4,1,36558,36575,VENezuela,Caracas,VE,,
98094100Normal,B01-4,Day Off Full,127.80599999999998,3,8.99,3.99,3,36559,36574,República DOminiCana,Santo Domingo,RD,,
98094103Normal,B05-4,Cyber Monday,40.52,1,5.73,4.73,2,36559,36573,BRAsil,Rio,BR,,
98094101Normal,CB01-4,Non,222.02999999999997,1,5.86,6.86,3,36559,36577,PARaguay,Asunción,PA,,
98094102Normal,CC01-7,Special Day,68.289,2,5.99,3.99,3,36559,36579,ECUador,Quito,EC,,
98094097Normal,C13-5,Non,121.35000000000001,3,5,7,3,36560,36569,ECUador,Quito,EC,,
98094095Normal,CB01-3,Non,444.05999999999995,2,8.55,5.55,3,36560,36569,ARGentina,Rosario,AR,,
98094096Devolución,CB01-1,Non,444.05999999999995,2,8.25,4.25,2,36560,36570,ECUador,Quito,EC,,
98094098Normal,CB01-1,Cyber Monday,355.248,2,5.1,3.1,1,36560,36574,BRAsil,Rio,BR,,
98094099Normal,L05-1,Cyber Monday,64.88,2,7.61,5.61,1,36560,36573,ARGentina,Rosario,AR,,
98094092Normal,CB01-1,Non,444.05999999999995,2,7.45,3.45,2,36561,36576,ARGentina,Rosario,AR,,
98094093Normal,CC02-3,Balck Fraday,60.12,3,7.25,4.25,1,36561,36578,PARaguay,Asunción,PA,,
98094090Normal,L02-3,Cyber Monday,64.320000000000007,2,5,5,2,36561,36574,URUguay,Montevideo,UR,,
98094091Normal,L05-5,Non,40.55,1,9.86,4.86,1,36561,36575,PERú,Lima,PE,,
98094094Normal,L05-1,Cyber Monday,97.32,3,8.89,5.89,1,36561,36580,PERú,Lima,PE,,
98094089Normal,CB01-5,Cyber Monday,532.872,3,9.55,5.55,1,36562,36577,República DOminiCana,Santo Domingo,RD,,
98094088Normal,CC01-6,Non,52.53,1,7.9,6.9,2,36562,36578,ARGentina,Rosario,AR,,
98094085Normal,CC02-6,Cyber Monday,21.376,1,9.88,6.88,1,36562,36576,República DOminiCana,Santo Domingo,RD,,
98094086Normal,L02-7,Non,40.2,1,5.14,3.14,2,36562,36572,VENezuela,Caracas,VE,,
98094087Devolución,L05-3,Day Off Full,34.467499999999994,1,9.14,5.14,2,36562,36581,ARGentina,Rosario,AR,,
98094084Normal,CB01-7,Non,222.02999999999997,1,5.73,5.73,3,36563,36578,VENezuela,Caracas,VE,,
98094083Devolución,CC01-1,Day Off Full,44.6505,1,5.25,4.25,3,36563,36582,ARGentina,Rosario,AR,,
98094082Normal,L01-5,Non,30.75,1,9.22,5.22,3,36563,36572,ARGentina,Rosario,AR,,
98094077Normal,C10-3,Balck Fraday,34.394999999999996,1,8.45,4.45,2,36564,36574,ECUador,Quito,EC,,
98094076Normal,C11-6,Cyber Monday,52.176,2,8.89,6.89,1,36564,36583,VENezuela,Caracas,VE,,
98094079Devolución,CB01-1,Non,444.05999999999995,2,6.45,3.45,2,36564,36575,VENezuela,Caracas,VE,,
98094081Normal,CB01-6,Balck Fraday,333.04499999999996,2,6,3,2,36564,36581,ECUador,Quito,EC,,
98094080Devolución,CC01-2,Cyber Monday,42.024,1,5.2,5.2,2,36564,36575,ECUador,Quito,EC,,
98094078Normal,L04-5,Non,90.300000000000011,3,6.73,3.73,3,36564,36577,CHIle,Viña del Mar,CH,,
98094072Normal,CB01-4,Non,222.02999999999997,1,5.12,3.12,3,36566,36582,VENezuela,Caracas,VE,,
98094075Normal,CB01-6,Non,666.08999999999992,3,7.58,4.58,3,36566,36575,VENezuela,Caracas,VE,,
98094074Normal,CC01-5,Balck Fraday,78.795,2,6.58,6.58,3,36566,36579,ECUador,Quito,EC,,
98094071Normal,CC02-2,Cyber Monday,42.752,2,5.99,6.99,3,36566,36583,PARaguay,Asunción,PA,,
98094073Normal,L07-4,Non,75.78,2,6.99,3.99,3,36566,36578,VENezuela,Caracas,VE,,
98094069Normal,CB01-1,Non,444.05999999999995,2,9.22,3.22,3,36567,36575,VENezuela,Caracas,VE,,
98094070Normal,CC02-5,Non,26.72,1,10,7,3,36567,36585,VENezuela,Caracas,VE,,
98094063Normal,CB01-5,Cyber Monday,355.248,2,7.99,6.99,1,36568,36585,VENezuela,Caracas,VE,,
98094068Normal,CB01-4,Balck Fraday,499.56749999999994,3,9,5,1,36568,36583,ECUador,Quito,EC,,
98094067Devolución,CC01-4,Non,52.53,1,8.61,5.61,1,36568,36578,VENezuela,Caracas,VE,,
98094065Normal,L02-1,Balck Fraday,60.300000000000004,2,8.68,6.68,3,36568,36580,PARaguay,Asunción,PA,,
98094064Normal,L05-4,Cyber Monday,97.32,3,8,6,3,36568,36588,PARaguay,Asunción,PA,,
98094066Normal,L05-1,Balck Fraday,91.2375,3,5.61,6.61,2,36568,36577,VENezuela,Caracas,VE,,
98094058Normal,B02-3,Day Off Full,51.492999999999995,1,8.12,3.12,1,36569,36577,URUguay,Montevideo,UR,,
98094059Normal,C13-4,Balck Fraday,91.0125,3,5.61,6.61,2,36569,36577,CHIle,Viña del Mar,CH,,
98094061Normal,CC02-4,Balck Fraday,20.04,1,6.22,5.22,2,36569,36581,PERú,Lima,PE,,
98094060Devolución,L01-1,Balck Fraday,46.125,2,9.99,4.99,3,36569,36576,URUguay,Montevideo,UR,,
98094062Devolución,L02-6,Day Off Full,34.17,1,7.68,5.68,2,36569,36587,PARaguay,Asunción,PA,,
98094053Devolución,CB01-1,Special Day,432.95849999999996,3,8.36,3.36,3,36571,36579,BRAsil,Rio,BR,,
98094054Normal,CB01-6,Non,666.08999999999992,3,7.36,5.36,2,36571,36579,VENezuela,Caracas,VE,,
98094055Normal,CB01-4,Cyber Monday,532.872,3,6.99,5.99,2,36571,36584,VENezuela,Caracas,VE,,
98094057Devolución,CC01-3,Cyber Monday,42.024,1,6.55,6.55,3,36571,36578,República DOminiCana,Santo Domingo,RD,,
98094056Normal,L05-6,Non,40.55,1,8.58,3.58,1,36571,36580,PERú,Lima,PE,,
98094049Normal,C12-6,Special Day,38.792,2,5.65,6.65,3,36572,36588,URUguay,Montevideo,UR,,
98094051Normal,CC01-7,Non,52.53,1,8.45,6.45,1,36572,36586,CHIle,Viña del Mar,CH,,
98094052Normal,CC01-7,Non,105.06,2,10,3,1,36572,36591,VENezuela,Caracas,VE,,
98094050Normal,L07-1,Special Day,49.257000000000005,2,7.36,6.36,3,36572,36581,CHIle,Viña del Mar,CH,,
98094046Normal,CB01-3,Day Off Full,377.45099999999996,2,8.88,6.88,3,36573,36586,PARaguay,Asunción,PA,,
98094048Normal,L01-4,Non,92.25,3,7.88,3.88,3,36573,36591,PERú,Lima,PE,,
98094047Normal,L05-5,Non,121.64999999999999,3,10,7,2,36573,36582,República DOminiCana,Santo Domingo,RD,,
98094045Normal,CB01-6,Cyber Monday,532.872,3,9.68,4.68,1,36574,36588,URUguay,Montevideo,UR,,
98094043Normal,CC01-7,Non,52.53,1,8.45,6.45,3,36574,36589,PARaguay,Asunción,PA,,
98094044Normal,CC01-6,Non,105.06,2,9.99,3.99,1,36574,36593,VENezuela,Caracas,VE,,
98094042Normal,L01-1,Non,92.25,3,5.84,4.84,2,36574,36590,ARGentina,Rosario,AR,,
98094041Normal,B06-6,Cyber Monday,80.576000000000008,2,7.99,6.99,2,36575,36584,PERú,Lima,PE,,
98094038Normal,C11-7,Non,97.83,3,8.58,5.58,3,36575,36582,CHIle,Viña del Mar,CH,,
98094039Normal,L02-4,Cyber Monday,32.160000000000004,1,5.65,4.65,2,36575,36592,URUguay,Montevideo,UR,,
98094040Normal,L02-4,Non,40.2,1,5.33,4.33,1,36575,36594,PERú,Lima,PE,,
98094036Devolución,CB01-4,Cyber Monday,532.872,3,6,7,3,36576,36591,ARGentina,Rosario,AR,,
98094037Normal,L01-6,Balck Fraday,69.1875,3,5.45,6.45,1,36576,36587,ECUador,Quito,EC,,
98094034Devolución,L05-3,Cyber Monday,64.88,2,5.1,5.1,3,36576,36589,PERú,Lima,PE,,
98094035Normal,L05-3,Day Off Full,103.40249999999999,3,7.75,4.75,1,36576,36592,PERú,Lima,PE,,
98094033Normal,L07-3,Non,75.78,2,8.55,3.55,3,36576,36583,BRAsil,Rio,BR,,
98094030Normal,CB01-3,Cyber Monday,355.248,2,7.12,5.12,2,36577,36588,VENezuela,Caracas,VE,,
98094032Normal,CC01-5,Cyber Monday,42.024,1,8.1,4.1,1,36577,36586,VENezuela,Caracas,VE,,
